EasternTurkey	FMD1998	Cattle
0	4	258450
0	1	39330
0	0	118880
0	0	116210
0	0	78130
0	0	90040
0	2	87380
0	4	176650
0	0	105610
0	0	151340
0	2	152560
0	0	227570
0	5	248460
0	1	76120
0	0	257740
0	0	136180
0	0	138900
0	0	65640
0	0	133870
0	3	104590
0	0	77270
0	0	109340
0	3	123010
0	1	175070
0	0	104560
0	0	132550
0	0	223440
0	2	57920
1	3	337120
0	0	197520
0	3	245460
0	5	161250
0	2	53500
0	0	392840
0	5	133440
0	0	194530
0	0	139390
0	0	311280
1	0	234000
0	0	347920
0	0	113190
1	9	305490
0	0	256870
1	0	73460
1	0	141470
1	0	63380
1	0	190380
1	0	90010
1	2	120470
1	0	262000
1	0	107580
1	2	551280
1	7	622650
1	3	73330
1	0	61110
1	0	122880
1	0	53630
1	0	193470
1	0	43670
1	0	149540
1	0	88070
1	0	127080
1	0	43760
1	5	234110
1	0	51000
1	0	81140
